task,algorithm,seed,num_samples,cost,wall_time_s,status,error
cart_pole,mppi,8,64,7.165359973907471,7.026666641235352,ok,
cart_pole,mppi,9,64,3.2424817085266113,6.896135568618774,ok,
cart_pole,cem,0,64,3.493670701980591,6.859050750732422,ok,
cart_pole,cem,1,64,2.9035050868988037,6.817180156707764,ok,
cart_pole,cem,2,64,6.763595104217529,6.913158416748047,ok,
cart_pole,cem,3,64,0.6640380620956421,6.879603147506714,ok,
cart_pole,cem,4,64,2.958696126937866,6.872543573379517,ok,
cart_pole,cem,5,64,2.810605525970459,6.88220477104187,ok,
cart_pole,cem,6,64,3.247065544128418,6.839789867401123,ok,
cart_pole,cem,7,64,7.298515796661377,6.89123010635376,ok,
cart_pole,cem,8,64,7.266329765319824,6.873150110244751,ok,
cart_pole,cem,9,64,2.6628050804138184,6.927611351013184,ok,
cart_pole,dial,0,64,2.6364643573760986,6.887368440628052,ok,
cart_pole,dial,1,64,2.793358325958252,6.839264631271362,ok,
cart_pole,dial,2,64,3.617997646331787,6.882486820220947,ok,
cart_pole,dial,3,64,0.3703806400299072,7.018212080001831,ok,
cart_pole,dial,4,64,2.7664549350738525,6.851516962051392,ok,
cart_pole,dial,5,64,2.655172109603882,6.8662333488464355,ok,
cart_pole,dial,6,64,2.6699557304382324,6.842374086380005,ok,
cart_pole,dial,7,64,5.160075664520264,7.067441701889038,ok,
cart_pole,dial,8,64,6.99677848815918,6.819616794586182,ok,
cart_pole,dial,9,64,2.6236884593963623,7.015877723693848,ok,
cart_pole,cmaes,0,64,8.86010456085205,9.284074306488037,ok,
cart_pole,cmaes,1,64,8.258964538574219,9.29733395576477,ok,
cart_pole,cmaes,2,64,11.444350242614746,9.281901597976685,ok,
cart_pole,cmaes,3,64,5.268874645233154,9.348787784576416,ok,
cart_pole,cmaes,4,64,6.0941691398620605,9.216763734817505,ok,
cart_pole,cmaes,5,64,7.648555278778076,9.163168907165527,ok,
cart_pole,cmaes,6,64,8.27606201171875,9.614897966384888,ok,
cart_pole,cmaes,7,64,12.51931095123291,9.694384336471558,ok,
cart_pole,cmaes,8,64,10.798850059509277,9.66289758682251,ok,
cart_pole,cmaes,9,64,9.711970329284668,9.598752975463867,ok,
cart_pole,mppi_cma,0,64,2.5818660259246826,6.940060615539551,ok,
cart_pole,mppi_cma,1,64,5.159055233001709,6.968568563461304,ok,
cart_pole,mppi_cma,2,64,3.233704090118408,7.081808090209961,ok,
cart_pole,mppi_cma,3,64,0.10134074091911316,7.046665668487549,ok,
cart_pole,mppi_cma,4,64,2.5257511138916016,6.996389627456665,ok,
cart_pole,mppi_cma,5,64,2.5356605052948,7.059101819992065,ok,
cart_pole,mppi_cma,6,64,1.346608281135559,6.993591547012329,ok,
cart_pole,mppi_cma,7,64,5.265457630157471,6.984586000442505,ok,
cart_pole,mppi_cma,8,64,6.911713123321533,7.0804033279418945,ok,
cart_pole,mppi_cma,9,64,2.5883538722991943,7.202483177185059,ok,
cart_pole,er_cma,0,64,2.605018138885498,6.93979811668396,ok,
cart_pole,er_cma,1,64,5.113452911376953,7.015936374664307,ok,
cart_pole,er_cma,2,64,3.20538067817688,6.95104193687439,ok,
cart_pole,er_cma,3,64,0.15970008075237274,6.956765413284302,ok,
cart_pole,er_cma,4,64,2.5993316173553467,6.9641194343566895,ok,
cart_pole,er_cma,5,64,2.4587881565093994,7.015600919723511,ok,
cart_pole,er_cma,6,64,1.6949973106384277,6.865367650985718,ok,
cart_pole,er_cma,7,64,5.204555511474609,6.947333097457886,ok,
cart_pole,er_cma,8,64,6.885241985321045,6.985256195068359,ok,
cart_pole,er_cma,9,64,2.569112777709961,7.173229932785034,ok,
